title,author,score,pages,year,genre,desc,reviews,url
"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,"9,637",231,1939,"Mystery,Fiction,Classics,Crime,Noir,Detective,Mystery Thriller","Down these mean streets a man must go who is not himself mean, who is neither tarnished nor afraid....He is the hero; he is everything. He must be a complete man and a common man and yet an unusual man.","7,835",/book/show/2052.The_Big_Sleep
The Glass Menagerie,Tennessee Williams,"18,805",104,1945,"Plays,Classics,Fiction,Drama,School,Theatre,Literature","No play in the modern theater has so captured the imagination and heart of the American public as Tennessee Williams's The Glass Menagerie. As Williams's first popular success, it launched the brilliant, if somewhat controversial, career, of our pre-eminent lyric playwright. Since its premiere in Chicago in 1944, with the legendary Laurette Taylor in the role of Amanda, Menagaerie has been the bravura piece for great actresses from Jessica Tandy to Joanne Woodward, and is studied and performed in classrooms and theatres around the world. ","3,623",/book/show/92517.The_Glass_Menagerie
Infinite Jest,David Foster Wallace,"53,824",1088,1996,"Fiction,Classics,Literature,Novels,Contemporary,Humor,Literary Fiction","A gargantuan, mind-altering tragi-comedy about the Pursuit of Happiness in America. ","11,200",/book/show/6759.Infinite_Jest
The Left Hand of Darkness,Ursula K. Le Guin,"18,805",304,1969,"Science Fiction,Fiction,Fantasy,Classics,Science Fiction Fantasy,Feminism,Speculative Fiction","A groundbreaking work of science fiction, ","15,456",/book/show/18423.The_Left_Hand_of_Darkness
The Screwtape Letters,C.S. Lewis,"53,824",222,1942,"Fiction,Christian,Classics,Religion,Christianity,Fantasy,Theology",A Masterpiece of Satire on Hell’s Latest Novelties and Heaven’s Unanswerable Answer,"16,264",/book/show/8130077-the-screwtape-letters
The Feminine Mystique,Betty Friedan,"5,677",430,1963,"Feminism,Nonfiction,Classics,History,Womens,Philosophy,Sociology","Landmark, groundbreaking, classic―these adjectives barely describe the earthshaking and long-lasting effects of Betty Friedan's ","2,089",/book/show/38723.The_Feminine_Mystique
"The Power of One (The Power of One, #1)",Bryce Courtenay,"18,805",544,1989,"Fiction,Historical Fiction,Africa,Classics,South Africa,Coming Of Age,Historical","In 1939, as Hitler casts his enormous, cruel shadow across the world, the seeds of apartheid take root in South Africa. There, a boy called Peekay is born. His childhood is marked by humiliation and abandonment, yet he vows to survive and conceives heroic dreams, which are nothing compared to what life actually has in store for him. He embarks on an epic journey through a land of tribal superstition and modern prejudice where he will learn the power of words, the power to transform lives and the power of one.","5,899",/book/show/122.The_Power_of_One
"Ishmael: An Adventure of the Mind and Spirit (Ishmael, #1)",Daniel Quinn,"5,677",266,1992,"Fiction,Philosophy,Spirituality,Classics,Fantasy,Environment,Novels",TEACHER SEEKS PUPIL.,"6,496",/book/show/227265.Ishmael
Beloved,Toni Morrison,"998,587",324,1987,"Fiction,Classics,Historical Fiction,Magical Realism,Literature,Historical,School","Winner of the Pulitzer Prize, Toni Morrison’s Beloved is a spellbinding and dazzlingly innovative portrait of a woman haunted by the past.","21,171",/book/show/6149.Beloved
"The Alexandria Quartet  (The Alexandria Quartet, #1-4)",Lawrence Durrell,"9,637",884,1960,"Fiction,Classics,Historical Fiction,Literature,Novels,Egypt,Africa","Lawrence Durrell's series of four novels set in Alexandria, Egypt during the 1940s. The lush and sensuous series consists of ",521,/book/show/13033.The_Alexandria_Quartet
Rosencrantz and Guildenstern Are Dead,Tom Stoppard,"18,805",126,1966,"Plays,Classics,Fiction,Drama,Theatre,Humor,School"," told from the worm's-eye view of two minor characters, bewildered Rosencrantz and Guildenstern. Echoes of ","2,696",/book/show/18545.Rosencrantz_and_Guildenstern_Are_Dead
